Longitude;Latitude;geohash;unique_prefix
55.21;25.1;thrqb36dn5pn;thrqb36
55.4;25.13;thrquwv0ce7h;thrquwv
55.38;25.11;thrqu5nkre3u;thrqu5n
55.33;25.29;thrrg5fhfmze;thrrg5f
55.17;25.05;thrnx2jwf4k3;thrnx2j
55.16;25.1;thrnz1q615hy;thrnz1q
55.16;25.11;thrnz5nk35ku;thrnz5n
56.3;25.13;tk2ncnu2v56h;tk2ncnu
56.33;25.12;tk2ncufq85t9;tk2ncuf
55.78;25.68;thxdj6cub5j8;thxdj6c
55.97;25.79;thxf9wujes9g;thxf9wu
55.92;25.75;thxf2rxsw7uv;thxf2rx
55.39;25.35;thx2hqvf2w94;thx2hqv
55.4;25.35;thx2hwv43we4;thx2hwv
55.38;25.33;thx2h5nmzw1z;thx2h5n
55.38;25.32;thx2h1q7xw1c;thx2h1q
55.37;25.3;thrrgvxpnmxw;thrrgvx
55.48;25.3;thrrymxr1twn;thrrymx
55.54;25.53;thx3pzdgpc46;thx3pzd
-58.37;-34.68;69y6xy8q27qh;69y6xy8
-57.87;-34.88;69yce4k37291;69yce4k
-58.44;-34.58;69y7q0vkck6w;69y7q0v
-58.7;-34.53;69y784pbnven;69y784p
-58.51;-34.47;69y7usfmdnp1;69y7usf
-58.5;-34.49;69y7uc395jwq;69y7uc3
-58.4;-34.59;69y7pp46tkde;69y7pp4
-58.38;-34.6;69y7pt2brku1;69y7pt2
-58.53;-34.8;69y6h0gg21vw;69y6h0g
-58.49;-34.48;69y7v50gknjx;69y7v50
-58.52;-34.51;69y7smeh9nhc;69y7sme
-58.65;-34.63;69y6cru3egvj;69y6cru
-58.92;-34.45;69yh50xf0w3h;69yh50x
-60.22;-33.39;6dj4j9t1hkbx;6dj4j9t
-58.86;-34.46;69y5uwerywd6;69y5uwe
-58.26;-34.72;69yd6r2m7dst;69yd6r2
-58.55;-34.49;69y7g9m1njsq;69y7g9m
-58.56;-34.69;69y6ekvuj5d1;69y6ekv
-58.66;-34.4;69yk31tj6yvv;69yk31t
-58.73;-34.45;69yhp8d45y6k;69yhp8d
-58.47;-34.53;69y7t6p2njxn;69y7t6p
-58.41;-34.6;69y7nv70kkg3;69y7nv7
-58.44;-34.57;69y7q4tr1kfx;69y7q4t
-58.4;-34.6;69y7pj62mkf9;69y7pj6
-58.44;-34.58;69y7q0vkck6w;69y7q0v
-58.47;-34.55;69y7mqr7wjr4;69y7mqr
-58.46;-34.56;69y7msw9rkc1;69y7msw
-58.39;-34.6;69y7pm38qkuc;69y7pm3
-58.38;-34.6;69y7pt2brku1;69y7pt2
-58.42;-34.57;69y7qdez5kup;69y7qde
-58.37;-34.61;69y7pg2q0kq0;69y7pg2
-58.46;-34.56;69y7msw9rkc1;69y7msw
-58.43;-34.59;69y7nrhddk9g;69y7nrh
-58.42;-34.57;69y7qdez5kup;69y7qde
-58.38;-34.59;69y7px0fxks5;69y7px0
-58.43;-34.58;69y7q2usfk3y;69y7q2u
-58.38;-34.61;69y7pe2ypkk0;69y7pe2
-58.44;-34.57;69y7q4tr1kfx;69y7q4t
-58.39;-34.6;69y7pm38qkuc;69y7pm3
-58.38;-34.6;69y7pt2brku1;69y7pt2
-58.36;-34.61;69y7pgrw1km8;69y7pgr
-58.49;-34.55;69y7mn2gsjmd;69y7mn2
-58.46;-34.57;69y7mdwxpkcp;69y7mdw
-58.37;-34.6;69y7pv222ky1;69y7pv2
-58.38;-34.6;69y7pt2brku1;69y7pt2
-58.41;-34.59;69y7nz54ske7;69y7nz5
-58.39;-34.6;69y7pm38qkuc;69y7pm3
-58.4;-34.58;69y7r0fkvk6w;69y7r0f
-58.36;-34.6;69y7pvr83kv9;69y7pvr
-58.45;-34.56;69y7muw12kb9;69y7muw
-58.38;-34.61;69y7pe2ypkk0;69y7pe2
-58.37;-34.6;69y7pv222ky1;69y7pv2
-58.38;-34.61;69y7pe2ypkk0;69y7pe2
-58.37;-34.61;69y7pg2q0kq0;69y7pg2
-58.39;-34.59;69y7pr1dwksg;69y7pr1
-58.38;-34.62;69y7p98gzkkn;69y7p98
-58.43;-34.62;69y7n3sefk3y;69y7n3s
-58.43;-34.62;69y7n3sefk3y;69y7n3s
-58.39;-34.6;69y7pm38qkuc;69y7pm3
-58.43;-34.58;69y7q2usfk3y;69y7q2u
-58.52;-34.61;69y7h77n1hkb;69y7h77
-58.41;-34.58;69y7qbghuk7q;69y7qbg
-58.47;-34.54;69y7t2pmyjph;69y7t2p
-58.41;-34.6;69y7nv70kkg3;69y7nv7
-58.39;-34.6;69y7pm38qkuc;69y7pm3
-58.37;-34.6;69y7pv222ky1;69y7pv2
-58.37;-34.6;69y7pv222ky1;69y7pv2
-58.38;-34.62;69y7p98gzkkn;69y7p98
-58.57;-34.64;69y6gjyxkh4f;69y6gjy
-58.37;-34.62;69y7pc87bkqn;69y7pc8
-58.41;-34.59;69y7nz54ske7;69y7nz5
-58.37;-34.61;69y7pg2q0kq0;69y7pg2
-58.4;-34.58;69y7r0fkvk6w;69y7r0f
-58.39;-34.59;69y7pr1dwksg;69y7pr1
-58.37;-34.6;69y7pv222ky1;69y7pv2
